time,gFx,gFy,gFz
7.072,0.1491,0,0.9928
7.074,0.157,-0.0039,0.9928
7.076,0.1844,-0.0118,0.9811
7.078,0.0903,0,1.0242
7.091,0.1962,-0.0078,0.9811
7.101,0.1138,0.0039,1.0125
7.167,0.1962,-0.0157,0.9928
7.169,0.1295,-0.0039,0.9928
7.171,0.1295,-0.0039,0.9968
7.173,0.1805,-0.0039,0.9811
7.191,0.1256,-0.0078,0.9968
7.225,0.1766,-0.0118,0.985
7.23,0.0942,0,0.9928
7.243,0.1687,-0.0157,0.9811
7.287,0.1648,-0.0039,0.9928
7.289,0.1452,-0.0118,1.0046
7.305,0.1609,-0.0118,0.985
7.31,0.106,-0.0078,0.9928
7.381,0.1844,-0.0157,0.985
7.383,0.1491,-0.0078,0.985
7.389,0.1217,-0.0078,1.0125
7.391,0.1609,-0.0078,0.9811
7.407,0.157,0,0.9968
7.424,0.1884,-0.0118,0.9771
7.473,0.1334,-0.0118,1.0046
7.475,0.1373,-0.0039,0.9968
7.477,0.1766,-0.0157,0.9693
7.492,0.1727,-0.0039,0.9968
7.505,0.1727,-0.0039,0.9928
7.511,0.1648,-0.0078,0.9928
7.521,0.1295,-0.0118,1.0046
7.583,0.157,0,0.9928
7.587,0.1727,0,0.985
7.591,0.1648,-0.0078,0.9968
7.595,0.1687,-0.0118,0.9889
7.614,0.1334,0.0039,0.9968
7.632,0.1962,0.0039,0.9771
7.654,0.1727,-0.0078,0.9811
7.661,0.1295,-0.0078,0.985
7.683,0.1884,0.0078,0.9693
7.719,0.1256,-0.0039,1.0007
7.721,0.2198,-0.0078,0.9693
7.732,0.1413,-0.0078,0.9928
7.751,0.157,-0.0078,0.985
7.772,0.1766,-0.0039,0.9771
7.78,0.1452,-0.0078,0.9928
7.801,0.2158,-0.0078,0.9732
7.839,0.102,-0.0078,1.0046
7.842,0.2041,-0.0118,0.9693
7.852,0.157,-0.0039,0.9928
7.905,0.1805,-0.0275,0.9889
7.907,0.157,-0.0157,0.9889
7.915,0.1177,-0.0078,0.9928
7.921,0.2158,-0.0118,0.9614
7.942,0.1413,-0.0039,0.9968
7.961,0.1727,-0.0157,0.985
8.028,0.1217,0,0.9928
8.03,0.1766,-0.0039,0.9771
8.032,0.1884,-0.0078,0.9693
8.034,0.1217,-0.0118,1.0046
8.051,0.1766,0,0.9811
8.06,0.1256,-0.0039,0.9771
8.081,0.1962,-0.0157,0.9928
8.136,0.1609,0.0039,0.9928
8.139,0.1138,0,1.0242
8.141,0.1844,0,0.9889
8.152,0.1295,0,1.0007
8.213,0.1962,-0.0078,0.9928
8.217,0.1138,0.0039,1.0085
8.219,0.1687,-0.0078,0.9928
8.221,0.153,-0.0039,0.9771
8.241,0.1687,-0.0039,1.0007
8.262,0.1452,-0.0078,0.9968
8.271,0.1295,0,0.9968
8.291,0.157,-0.0078,0.9928
8.325,0.1727,-0.0078,0.9811
8.33,0.1452,-0.0157,0.9968
8.342,0.157,-0.0039,0.985
8.361,0.1295,-0.0078,0.9889
8.381,0.1844,-0.0039,0.9889
8.427,0.1687,-0.0039,0.9732
8.431,0.1373,-0.0078,0.985
8.433,0.1727,-0.0039,0.9811
8.451,0.1413,0,0.9889
8.471,0.2158,-0.0039,0.9811
8.508,0.1373,-0.0078,0.9928
8.511,0.1373,0.0118,0.9889
8.522,0.1884,0,0.9889
8.542,0.1413,-0.0157,1.0125
8.554,0.2158,-0.0078,0.9771
8.619,0.1177,0.0039,1.0046
8.621,0.1766,0.0039,0.9693
8.623,0.1727,-0.0039,1.0007
8.631,0.1609,-0.0118,1.0046
8.641,0.1687,0,0.9928
8.668,0.106,0,0.9968
8.685,0.2119,-0.0039,0.9654
8.697,0.153,-0.0118,0.9968
