tiempo, ax, ay, az
2.78,133,120.705,151.125 n
2.79,132.039,121.922,154.272 n
2.8,132,124.116,153.821 n
2.81,132.589,120.705,151.358 n
2.82,133.701,121.897,150.815 n
2.83,133.705,122.295,156 n
2.84,131,122,147.653 n
2.85,132,122.617,158.704 n
2.86,134.193,118.807,148.54 n
2.87,132.808,118.575,146.042 n
2.88,132.807,121,162.615 n
2.89,132.382,121,148.526 n
2.9,134.616,123,154.547 n
2.91,133.97,123,150.667 n
2.92,132.116,121,149.501 n
2.93,131.039,120.078,153.844 n
2.94,131.192,121,157.232 n
2.95,133.128,122.256,150.256 n
2.96,134.353,122,148.706 n
2.97,135,121.787,152.787 n
2.98,134,122.192,151.423 n
2.99,134,122.45,157.775 n
3,132.208,123.417,148.251 n
3.01,134,124.106,153.106 n
3.02,132.776,122.552,151.21 n
3.03,132.446,122.115,146.015 n
3.04,135.224,124,157.09 n
3.05,135.821,123.642,146.821 n
3.06,132,125,148.212 n
3.07,133.966,124.017,163.811 n
3.08,132.632,124,144.109 n
3.09,134.685,121.738,158.107 n
3.1,133.018,119.982,147.124 n
3.11,132.31,123.31,157.552 n
3.12,134.647,122.216,146.509 n
3.13,137.423,122.808,150.346 n
3.14,134.323,124.03,142.443 n
3.15,130.617,124,158.51 n
3.16,130.192,124.384,153.151 n
3.17,132.441,126.779,150.324 n
3.18,135.796,125.796,154.72 n
3.19,135.203,124,146.234 n
3.2,133.594,126.203,148.218 n
3.21,131.797,124,155.171 n
3.22,131.407,125.185,151.647 n
3.23,131.797,124.405,151.772 n
3.24,133,125.594,155.61 n
3.25,132.204,124.204,141.628 n
3.26,135,124.409,156.591 n
3.27,136,124.562,145.875 n
3.28,133.424,125.192,151.657 n
3.29,131,128.427,156 n
3.3,131.383,125.191,148.956 n
3.31,134,125.767,146.041 n
3.32,134.845,130.691,157.218 n
3.33,131,128.19,146.189 n
3.34,130.808,125,155.934 n
3.35,131.382,123.618,149.671 n
3.36,132.191,125.191,151.191 n
3.37,133.426,125.809,154.365 n
3.38,130.808,126,150.346 n
3.39,129.383,124.191,157.148 n
3.4,132.934,123.066,153.298 n
3.41,133.961,126.883,146.726 n
3.42,131.745,125.255,153.745 n
3.43,130,124.294,152.882 n
3.44,131.381,124.429,153.714 n
3.45,133,125.809,155.756 n
3.46,134.808,124.383,149.617 n
3.47,132,126.573,148.294 n
3.48,131.808,125.615,156.692 n
3.49,131.192,124.192,147.308 n
3.5,132,124,157.704 n
3.51,134.193,125,148.422 n
3.52,135.811,129,154.92 n
3.53,134,127.81,150.904 n
3.54,131.81,124.81,149.43 n
3.55,131.191,125.809,151.382 n
3.56,132.192,127.617,158.702 n
3.57,134.191,123.765,151.148 n
3.58,133,126.192,141.682 n
3.59,134,125.695,160.703 n
3.6,134,122.386,144.614 n
3.61,132.951,126,151.754 n
3.62,130.847,123.153,157.233 n
3.63,131.883,128.588,152.471 n
3.64,135,127.706,151.236 n
3.65,132.409,128,150.181 n
3.66,131,128,153 n
3.67,131,126.706,149.826 n
3.68,131.961,126.961,160.461 n
3.69,135.064,126.645,151.547 n
3.7,134.412,128.294,144.706 n
3.71,133.252,124.496,164.504 n
3.72,133,122.468,141.294 n
3.73,132.118,128.412,159.354 n
3.74,130.588,127.825,156.232 n
3.75,133.295,124.295,150.051 n
3.76,134.706,127.706,150.11 n
3.77,133,124.587,154.944 n
3.78,133.294,124.589,151.061 n
3.79,133,128.706,151.294 n
