24,21 69 79
23,22 65 82
22,23 65 83
21,24 69 82
20,25 69 80
19,26 65 80
18,27 65 78
17,28 65 81
16,29 65 77
15,30 65 82
14,31 65 83
13,32 65 84
12,33 66 82
11,34 68 150
10,35 68 150
9,36 69 150
8,37 70 150
7,38 72 150
6,39 73 150
5,40 75 150
40,4 96 150
39,5 90 150
38,6 86 150
37,7 82 150
36,8 79 150
35,9 76 112
34,10 73 103
33,11 71 99
32,12 69 89
31,13 68 88
30,14 67 88
29,15 66 89
28,16 65 89
27,17 63 87
26,18 62 80
25,19 62 80
24,20 60 79
23,21 60 80
22,22 60 78
21,23 60 74
20,24 60 76
19,25 60 79
18,26 60 75
17,27 60 74
16,28 60 80
15,29 60 79
14,30 60 74
13,31 60 81
12,32 60 74
11,33 62 76
10,34 63 77
9,35 64 150
8,36 65 150
7,37 66 150
6,38 68 150
5,39 70 150
4,40 72 150
40,3 87 150
39,4 82 150
38,5 78 150
37,6 74 150
36,7 71 150
35,8 69 150
34,9 67 150
33,10 65 94
32,11 63 95
31,12 62 91
30,13 61 86
29,14 60 88
28,15 59 83
27,16 58 80
26,17 57 82
25,18 56 78
24,19 55 75
23,20 55 78
22,21 55 70
21,22 55 75
20,23 55 73
19,24 55 73
18,25 55 74
17,26 57 73
16,27 55 70
15,28 55 71
14,29 55 71
13,30 55 70
12,31 55 76
11,32 57 70
10,33 58 68
9,34 59 75
8,35 59 150
7,36 61 68
6,37 63 150
5,38 65 150
4,39 67 150
3,40 69 150
40,2 78 150
39,3 74 150
38,4 70 150
37,5 67 150
36,6 64 150
35,7 62 150
34,8 60 150
33,9 59 91
32,10 58 85
31,11 57 74
30,12 56 86
29,13 55 74
28,14 54 79
27,15 53 74
26,16 56 75
25,17 51 74
24,18 50 71
23,19 50 66
22,20 50 70
21,21 50 68
20,22 50 67
19,23 50 70
18,24 50 68
17,25 50 66
16,26 50 66
15,27 50 67
14,28 50 68
13,29 50 69
12,30 50 68
11,31 52 67
10,32 53 69
9,33 53 76
8,34 56 80
7,35 56 150
6,36 58 150
5,37 60 150
4,38 62 150
3,39 64 150
2,40 66 150
40,1 69 150
39,2 66 150
38,3 63 150
37,4 60 150
36,5 57 150
35,6 56 83
34,7 55 150
33,8 54 90
32,9 53 77
31,10 52 76
30,11 51 83
29,12 50 75
28,13 49 73
27,14 48 72
26,15 47 70
25,16 46 66
24,17 45 64
23,18 45 64
22,19 45 68
21,20 45 65
20,21 45 64
19,22 45 66
18,23 45 65
17,24 45 62
16,25 45 64
15,26 45 65
14,27 45 61
13,28 45 65
12,29 45 61
11,30 47 66
10,31 48 70
9,32 49 63
8,33 51 70
7,34 52 150
6,35 53 69
5,36 55 150
4,37 57 150
3,38 59 150
2,39 61 150
1,40 63 150
40,0 60 150
39,1 58 150
38,2 56 150
37,3 54 150
36,4 52 150
35,5 51 150
34,6 50 150
33,7 49 81
32,8 48 81
31,9 47 81
30,10 46 77
29,11 45 71
28,12 44 71
27,13 43 68
26,14 52 67
25,15 41 63
24,16 40 64
23,17 40 63
22,18 40 63
21,19 40 60
20,20 44 61
19,21 40 60
18,22 40 59
17,23 40 62
16,24 40 61
15,25 40 62
14,26 40 60
13,27 40 58
12,28 40 63
11,29 42 61
10,30 43 63
9,31 44 66
8,32 46 61
7,33 47 65
6,34 48 150
5,35 50 150
4,36 52 150
3,37 54 150
2,38 56 150
1,39 58 150
0,40 60 150
39,0 57 150
38,1 55 150
37,2 53 150
36,3 51 150
35,4 50 150
34,5 49 80
33,6 48 70
32,7 47 71
31,8 46 70
30,9 45 66
29,10 44 67
28,11 43 66
27,12 42 66
26,13 41 64
25,14 47 62
24,15 39 59
23,16 39 60
22,17 39 58
21,18 39 54
20,19 39 58
19,20 39 58
18,21 39 58
17,22 39 58
16,23 39 56
15,24 39 57
14,25 39 57
13,26 39 59
12,27 39 56
11,28 39 57
10,29 41 60
9,30 42 61
8,31 43 59
7,32 45 59
6,33 46 64
5,34 48 150
4,35 49 150
3,36 51 150
