tiempo, axy, ayz, azx
2.89,180.875,196.461,200.816
2.9,182.645,195.51,199.28
2.91,183.87,199.257,201.85
2.92,182.989,197.396,199.505
2.93,181.925,198.581,201.643
2.94,182.088,198.462,201.377
2.95,182.455,198.661,201.242
2.96,182.313,196.71,200.452
2.97,183.175,198.254,201.494
2.98,182.483,196.484,200.384
2.99,181.227,195.164,198.916
3,183.321,201.02,203.095
3.01,183.739,198.163,200.889
3.02,183.865,196.017,198.333
3.03,184.567,200.125,202.072
3.04,183.248,195.11,197.003
3.05,182.705,196.838,198.147
3.06,183.877,199.546,202.55
3.07,183.631,192.944,196.28
3.08,184.365,198.778,202.239
3.09,183.638,197.436,199.84
3.1,183.153,196.431,198.399
3.11,183.87,201.899,204.458
3.12,183.338,192.473,195.655
3.13,183.865,198.688,200.983
3.14,183.682,200.468,200.923
3.15,183.484,196.228,198.201
3.16,185.12,199.749,202.505
3.17,183.87,194.918,197.568
3.18,184.399,199.182,200.984
3.19,184.358,199.62,200.641
3.2,183.056,197.333,199.203
3.21,183.631,203.29,205.178
3.22,183.631,196.729,200.001
3.23,184.817,196.655,199.735
3.24,185.059,199.153,201.973
3.25,184.813,194.355,197.475
3.26,183.638,197.482,199.885
3.27,181.97,199.837,201.966
3.28,182.688,198.345,201.14
3.29,184.13,196.026,200.181
3.3,184.399,196.875,201.665
3.31,184.61,195.208,199.411
3.32,182.951,197.324,200.783
3.33,182.455,198.46,201.043
3.34,183.153,199.376,201.315
3.35,183.153,199.586,201.523
3.36,182.023,198.008,200.99
3.37,183.877,197.989,201.031
3.38,183.87,196.384,199.015
3.39,182.249,198.276,201.931
3.4,181.739,198.025,199.962
3.41,182.413,201.184,201.617
3.42,182.927,201.385,203.508
3.43,183.853,195.299,196.626
3.44,184.08,203.203,204.275
3.45,182.669,197.682,199.194
3.46,182.897,197.871,199.174
3.47,182.927,198.801,200.952
3.48,184.33,197.771,198.641
3.49,184.08,202.883,203.956
3.5,183.627,197.385,198.908
3.51,183.62,201.573,201.781
3.52,182.439,200.522,201.805
3.53,182.675,197.415,198.5
3.54,183.379,200.729,202.45
3.55,182.927,197.99,200.149
3.56,184.081,198.031,199.13
3.57,183.85,201.121,201.994
3.58,182.683,197.781,197.55
3.59,182.908,201.588,201.158
3.6,182.689,201.612,201.381
3.61,181.489,198.744,199.607
3.62,183.153,201.008,202.932
3.63,184.567,197.857,199.826
3.64,184.321,199.57,200.862
3.65,182.904,201.029,200.166
3.66,182.514,203.984,202.647
3.67,183.486,204.19,203.204
3.68,184.286,196.635,196.939
3.69,184.731,198.621,200.431
3.7,184.936,199.68,200.986
3.71,183.473,198.656,199.308
3.72,183.851,199.966,200.958
3.73,185.788,201.612,201.127
3.74,184.889,199.938,200.591
3.75,184.391,197.41,198.223
3.76,184.184,201.057,202.045
3.77,184.563,200.002,200.648
3.78,184.17,197.171,197.07
3.79,184.476,202.145,205.057
3.8,185.639,198.381,198.029
3.81,183.848,197.789,197.789
3.82,184.721,204.804,205.292
3.83,185.646,198.969,197.293
3.84,184.931,202.684,202.382
3.85,184.183,199.831,198.523
3.86,184.718,201.741,200.945
3.87,185.267,200.963,199.655
3.88,185.431,201.668,200.516
3.89,185.267,202.072,200.771
3.9,183.853,201.064,199.767
3.91,183.853,202.715,201.428
3.92,184.018,199.504,198.35
3.93,184.059,200.049,199.55
3.94,183.848,202.479,202.479
3.95,183.473,199.532,198.881
3.96,183.848,201.732,201.429
3.97,183.853,202.358,201.069
3.98,184.017,200.259,199.108
3.99,183.682,200.237,200.085
4,183.853,202.537,201.249
4.01,184.032,201.847,199.405
4.02,184.731,201.005,199.2
4.03,185.97,200.915,200.259
4.04,185.817,199.9,197.763
4.05,184.236,202.905,200.97
4.06,183.157,199.61,197.348
4.07,182.455,200.889,198.304
4.08,182.982,202.285,200.809
4.09,184.556,198.399,197.74
4.1,184.555,202.45,202.792
4.11,183.317,199.858,198.057
4.12,183.986,203.399,201.996
4.13,184.557,200.877,200.027
4.14,183.96,198.104,196.887
4.15,184.39,202.843,202.35
4.16,185.1,199.655,198.494
4.17,183.853,200.307,199.005
4.18,184.392,200.889,200.087
4.19,184.567,200.16,198.194
4.2,183.853,201.785,200.492
4.21,183.851,199.529,198.531
4.22,183.848,201.635,201.635
4.23,184.556,199.982,200.633
4.24,184.721,198.07,198.574
4.25,184.72,202.5,202.995
4.26,185.1,199.034,197.87
4.27,185.105,202.126,200.675
4.28,184.556,200.839,200.188
4.29,185.614,200.007,197.365
4.3,184.889,202.76,201.812
4.31,186.515,201.019,199.857
4.32,185.433,197.848,196.362
4.33,184.763,203.688,202.247
4.34,183.87,202.026,199.435
4.35,183.65,201.724,199.631
4.36,184.556,202.003,201.356
4.37,185.097,199.552,199.4
4.38,185.267,201.845,200.543
4.39,184.556,201.42,200.771
4.4,184.014,202.006,200.862
4.41,184.562,202.814,201.293
4.42,184.101,201.262,200.615
4.43,184.084,202.615,201.117
4.44,184.08,200.93,199.84
4.45,185.493,201.316,200.219
4.46,185.723,199.731,198.412
4.47,185.744,200.611,199.744
4.48,185.284,200.18,197.545
4.49,184.828,201.518,198.908
4.5,183.87,202.341,199.755
4.51,185.044,200.421,197.13
4.52,186.443,202.665,200.28
4.53,185.981,200.688,198.712
4.54,185.981,200.207,198.227
4.55,186.003,202.732,199.463
4.56,185.216,203.756,199.949
4.57,184.685,201.064,197.702
4.58,185.077,201.669,197.952
4.59,184.357,203.298,200.277
4.6,183.839,200.059,197.889
4.61,186.211,203.206,201.043
4.62,186.467,202.394,199.983
4.63,186.219,202.422,199.824
4.64,186.012,203.597,199.917
4.65,185.311,203.894,200.002
4.66,185.538,201.814,197.668
4.67,186.257,204.553,200.209
4.68,185.022,200.532,198.565
4.69,184.792,199.81,198.051
4.7,186.206,202.97,201.225
4.71,184.785,198.638,197.766
4.72,184.797,200.965,198.793
4.73,184.855,203.709,199.823
4.74,185.088,205.187,201.115
4.75,185.335,203.511,198.718
4.76,185.801,204.394,200.057
4.77,185.771,202.662,199.607
4.78,186.491,203.323,199.608
4.79,185.515,201.46,198.626
4.8,185.994,201.414,198.564
4.81,186.246,199.888,196.34
4.82,185.534,202.409,199.135
4.83,185.791,206.09,201.8
4.84,184.867,202.108,197.307
4.85,185.536,205.883,202.25
4.86,185.264,198.096,197.217
4.87,186.453,201.972,200.433
4.88,185.515,205.925,202.724
4.89,184.346,200.302,197.682
4.9,186.221,201.627,198.998
4.91,186.932,202.108,199.259
4.92,185.767,202.417,199.361
4.93,185.067,205.687,202.053
4.94,184.539,204.387,199.944
4.95,183.882,202.417,199.187
4.96,184.644,200.44,197.818
4.97,184.211,201.058,200.396
4.98,184.388,203.237,201.138
4.99,184.257,202.525,198.628
5,185.139,204.353,200.628
5.01,186.026,202.013,197.743
5.02,185.119,204.265,201.835
5.03,186.533,204.282,200.874
5.04,185.821,200.594,197.46
5.05,184.567,204.408,202.484
5.06,185.835,201.104,197.965
5.07,185.449,202.125,199.361
5.08,185.311,202.808,198.894
5.09,185.318,203.94,199.745
5.1,184.091,202.15,198.073
5.11,184.472,202.34,200.484
5.12,185.269,202.511,201.039
5.13,185.053,202.441,200.049
5.14,185.042,202.661,201.156
5.15,185.514,201.405,198.571
5.16,185.995,205.196,202.385
5.17,186.244,199.844,195.876
5.18,186.003,204.109,200.862
5.19,185.546,201.428,198.145
5.2,184.589,201.731,198.47
5.21,184.792,203.101,201.37
5.22,185.021,198.021,196.029
5.23,185.97,202.342,201.691
5.24,186.924,200.792,200.562
5.25,185.998,200.556,199.452
5.26,185.284,203.969,201.384
5.27,185.311,203.143,199.236
5.28,185.78,203.346,199.433
5.29,185.053,202.543,200.152
5.3,185.509,200.183,197.759
5.31,185.73,203,200.864
5.32,186.724,205.222,201.326
5.33,186.003,200.927,197.627
5.34,187.191,206.835,203.399
5.35,186.023,202.788,198.622
5.36,184.573,203.608,201.259
5.37,183.87,201.746,199.151
5.38,185.52,204.722,201.93
5.39,185.97,202.072,201.42
5.4,186.59,202.871,200.351
5.41,186.202,202.976,200.62
5.42,186.623,204.265,200.255
5.43,185.557,203.832,199.277
5.44,184.389,204.617,199.889
5.45,185.832,206.483,200.898
5.46,185.098,202.865,198.299
5.47,186.237,203.368,200.326
5.48,188.809,203.547,201.57
5.49,185.973,198.809,197.697
5.5,183.402,203.575,200.577
5.51,181.673,205.025,199.455
5.52,181.823,205.127,200.382
5.53,184.745,204.132,202.367
5.54,186.676,199.821,199.821
5.55,186.495,200.562,200.393
5.56,185.091,201.659,199.854
5.57,184.941,205.723,202.204
5.58,184.806,201.322,196.559
5.59,186.235,209.762,204.217
5.6,186.533,199.98,196.496
5.61,187.049,203.514,200.576
5.62,186.668,203.441,201.82
5.63,185.271,200.513,198.862
5.64,185.284,201.697,199.083
5.65,185.298,203.272,200.664
5.66,186.164,201.229,199.088
5.67,186.718,200.872,197.178
5.68,186.463,204.602,201.788
5.69,186.717,199.802,196.138
5.7,186.109,204.747,201.412
5.71,187.305,203.02,200.213
5.72,187.685,198.461,196.445
5.73,187.624,202.618,200.86
5.74,186.996,202.17,197.541
5.75,184.119,201.482,198.219
5.76,187.015,205.919,200.073
5.77,187.437,203.218,199.051
5.78,189.073,205.427,201.924
5.79,188.371,202.241,198.478
5.8,187.408,205.58,202.76
5.81,186.272,202.273,197.447
5.82,188.242,210.744,203.898
5.83,188.223,207.783,201.28
5.84,187.525,203.117,196.267
5.85,188.427,210.014,204.228
5.86,189.135,202.864,197.074
5.87,188.921,205.513,199.131
5.88,188.659,207.307,201.658
5.89,188.274,205.485,197.573
