Archivo,Datos
28,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
29,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
30,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (1)n3.5,1.5,n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
31,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
32,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
33,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
34,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,"
35,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,1 (1)"
36,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (1)n1.5,1.5,1 (2)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
37,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (2)n1.5,1.5,1 (3)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
