11,15 26 32
10,16 26 31
9,17 26 32
8,18 26 33
7,19 27 32
6,20 28 32
5,21 29 33
4,22 30 32
3,23 31 35
2,24 32 34
1,25 33 36
0,26 34 41
25,0 32 36
24,1 31 35
23,2 30 33
22,3 29 33
21,4 28 33
20,5 27 33
19,6 26 31
18,7 25 29
17,8 25 32
16,9 25 31
15,10 25 27
14,11 25 31
13,12 25 29
12,13 25 30
11,14 25 29
10,15 25 29
9,16 25 29
8,17 25 30
7,18 25 30
6,19 26 29
5,20 27 30
4,21 28 30
3,22 29 30
2,23 30 32
1,24 31 36
0,25 32 39
24,0 30 31
23,1 29 31
22,2 28 31
21,3 27 31
20,4 26 30
19,5 25 30
18,6 24 28
17,7 24 28
16,8 24 29
15,9 24 28
14,10 24 28
13,11 24 28
12,12 24 26
11,13 24 28
10,14 24 28
9,15 24 28
8,16 24 27
7,17 24 27
6,18 24 28
5,19 25 28
4,20 26 29
3,21 27 29
2,22 28 29
1,23 29 31
0,24 30 32
23,0 28 29
22,1 27 29
21,2 26 29
20,3 25 28
19,4 24 27
18,5 23 28
17,6 23 26
16,7 23 27
15,8 23 26
14,9 23 25
13,10 23 26
12,11 23 25
11,12 23 25
10,13 23 25
9,14 23 26
8,15 23 26
7,16 23 26
6,17 23 26
5,18 23 26
4,19 24 27
3,20 25 27
2,21 26 28
1,22 27 28
0,23 28 29
22,0 26 28
21,1 25 26
20,2 24 27
19,3 23 26
18,4 22 27
17,5 22 23
16,6 22 24
15,7 22 24
14,8 22 24
13,9 22 24
12,10 22 23
11,11 22 24
10,12 22 22
9,13 22 23
8,14 22 24
7,15 22 23
6,16 22 24
5,17 22 25
4,18 22 24
3,19 23 26
2,20 24 26
1,21 25 27
0,22 26 28
21,0 24 25
20,1 23 24
19,2 22 24
18,3 21 24
17,4 21 24
16,5 21 23
15,6 21 23
14,7 21 22
13,8 21 22
12,9 21 22
11,10 21 21
10,11 21 22
9,12 21 23
8,13 21 22
7,14 21 22
6,15 21 22
5,16 21 22
4,17 21 22
3,18 21 22
2,19 22 24
1,20 23 24
0,21 24 25
20,0 22 23
19,1 21 22
18,2 20 22
17,3 20 22
16,4 20 22
15,5 20 22
14,6 20 21
13,7 20 21
12,8 20 21
11,9 20 21
10,10 20 21
9,11 20 20
8,12 20 20
7,13 20 21
6,14 20 21
5,15 20 20
4,16 20 21
3,17 20 21
2,18 20 23
1,19 21 23
0,20 22 23
19,0 20 21
18,1 19 20
17,2 19 21
16,3 19 20
15,4 19 20
14,5 19 20
13,6 19 20
12,7 19 19
11,8 19 19
10,9 19 20
9,10 19 19
8,11 19 20
7,12 19 19
6,13 19 19
5,14 19 19
4,15 19 19
3,16 19 20
2,17 19 20
1,18 19 21
0,19 20 21
