tiempo, vx, vy, vz
1.256,2.42688,-1.21947,-0.320152
1.25899,2.43072,-1.22522,-0.321329
1.264,2.43908,-1.23486,-0.3233
1.268,2.44576,-1.24255,-0.326413
1.274,2.45809,-1.25409,-0.324158
1.278,2.46786,-1.26179,-0.318033
1.285,2.48762,-1.27526,-0.320788
1.288,2.49725,-1.28218,-0.326587
1.294,2.52343,-1.29373,-0.333565
1.298,2.54242,-1.30296,-0.336678
1.304,2.5686,-1.31912,-0.348274
1.308,2.58142,-1.32988,-0.360604
1.31399,2.59374,-1.34371,-0.372189
1.318,2.59888,-1.34987,-0.372224
1.324,2.60429,-1.35911,-0.365346
1.328,2.6079,-1.36219,-0.354612
1.33499,2.61689,-1.37026,-0.349292
1.338,2.62306,-1.37373,-0.350475
1.344,2.64,-1.37835,-0.35976
1.348,2.65284,-1.38297,-0.361334
1.354,2.67438,-1.38988,-0.363693
1.358,2.68723,-1.39451,-0.369892
1.364,2.70649,-1.40143,-0.372253
1.368,2.71778,-1.40451,-0.375365
1.374,2.73242,-1.40682,-0.380035
1.378,2.74218,-1.40989,-0.372376
1.385,2.75656,-1.41797,-0.369746
1.388,2.76273,-1.42144,-0.372082
1.394,2.77506,-1.42836,-0.374443
1.398,2.78327,-1.43298,-0.374479
1.404,2.7956,-1.4399,-0.374532
1.408,2.80536,-1.44298,-0.368414
1.41399,2.82229,-1.4499,-0.361547
1.41799,2.83358,-1.45451,-0.364659
1.425,2.85607,-1.45991,-0.372808
1.42799,2.86682,-1.46336,-0.371683
1.435,2.8893,-1.46875,-0.366355
1.438,2.89662,-1.47221,-0.369846
1.444,2.91126,-1.47914,-0.369899
1.448,2.91948,-1.48375,-0.366858
1.454,2.9295,-1.49068,-0.362294
1.458,2.93618,-1.4953,-0.357713
1.46401,2.94852,-1.50454,-0.353145
1.468,2.95673,-1.50915,-0.35318
1.474,2.97136,-1.51377,-0.353233
1.478,2.98266,-1.51838,-0.350192
1.48399,2.99959,-1.5253,-0.347938
1.48801,3.01091,-1.52993,-0.349517
1.494,3.02554,-1.53685,-0.354183
1.498,3.0353,-1.54147,-0.355757
1.504,3.04994,-1.54608,-0.353502
1.508,3.05815,-1.5507,-0.351999
1.51399,3.07047,-1.55531,-0.349746
1.51799,3.07869,-1.55839,-0.349782
1.524,3.09103,-1.5607,-0.349835
1.528,3.09924,-1.56223,-0.348333
1.53404,3.11165,-1.56456,-0.348386
1.53799,3.11977,-1.56608,-0.349941
1.54699,3.13481,-1.57301,-0.353486
1.55,3.13983,-1.57532,-0.352356
1.554,3.14497,-1.5784,-0.35393
1.558,3.15165,-1.57994,-0.352427
1.564,3.16398,-1.58455,-0.350171
